Transcription%
13.7
21.1
15.2
30.4
12.8
9.6
9.3
17.7
15.4
8.7
12.8
10.6
5.1
16.7
17.7
8.7
26.4
18
19
16.9
18.8
8.5
1.2
11.5
21.4
10.3
9
12.8
12
34.7
4.1
